City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,14.81,58,75,6.69,AR,1675294462
1,bredasdorp,-34.5322,20.0403,19.25,73,98,1.69,ZA,1675294559
2,kwinana,-32.25,115.7667,19.89,55,0,2.24,AU,1675294560
3,guerrero negro,27.9769,-114.0611,15.56,49,0,5.3,MX,1675294302
4,tasiilaq,65.6145,-37.6368,-7.91,75,100,12.96,GL,1675294562
5,alexandria,31.2156,29.9553,13.91,51,35,8.39,EG,1675294563
6,amapa,1.0,-52.0,21.6,100,100,0.28,BR,1675294565
7,sitka,57.0531,-135.33,5.94,81,100,0.0,US,1675294352
8,castro,-24.7911,-50.0119,18.04,95,100,1.03,BR,1675294277
9,prince rupert,54.3161,-130.3201,7.05,76,100,11.32,CA,1675294568
10,butembo,0.15,29.2833,14.09,85,64,1.34,CD,1675294570
11,abu dhabi,24.4667,54.3667,19.01,55,0,1.03,AE,1675294474
12,torbay,47.6666,-52.7314,-11.02,80,40,1.79,CA,1675294573
13,atuona,-9.8,-139.0333,25.93,77,80,7.15,PF,1675294472
14,chapais,49.7834,-74.8492,-16.12,97,100,1.54,CA,1675294576
15,urambo,-5.0667,32.05,17.64,94,67,0.8,TZ,1675294577
16,yellowknife,62.456,-114.3525,-32.47,75,0,2.57,CA,1675294404
17,rikitea,-23.1203,-134.9692,26.51,75,10,6.21,PF,1675294580
18,port alfred,-33.5906,26.891,18.99,89,27,1.34,ZA,1675294582
19,vaini,-21.2,-175.2,29.09,79,75,7.2,TO,1675294584
20,charlestown,-32.95,151.6667,26.68,82,61,2.24,AU,1675294422
21,punta arenas,-53.15,-70.9167,16.06,51,75,3.09,CL,1675294383
22,alofi,-19.0595,-169.9187,24.94,94,100,6.17,NU,1675294588
23,beihai,21.4833,109.1,18.99,89,100,4.91,CN,1675294589
24,griffith,41.5284,-87.4237,-2.84,63,0,3.09,US,1675294590
25,hun,29.1268,15.9477,13.2,50,94,1.26,LY,1675294591
26,albany,42.6001,-73.9662,-3.69,54,44,2.32,US,1675294522
27,malacky,48.436,17.0219,3.27,84,100,7.67,SK,1675294593
28,hobart,-42.8794,147.3294,16.24,55,75,6.17,AU,1675294595
29,kamaishi,39.2667,141.8833,0.04,58,4,5.97,JP,1675294596
30,batemans bay,-35.7167,150.1833,22.28,34,15,2.79,AU,1675294597
31,ames,42.0347,-93.6199,0.9,57,0,1.54,US,1675294598
32,barrow,71.2906,-156.7887,-21.99,77,0,9.26,US,1675294599
33,vardo,70.3705,31.1107,-1.01,74,100,7.72,NO,1675294600
34,esperance,-33.8667,121.9,17.39,70,81,5.37,AU,1675294362
35,mildura,-34.2,142.15,18.93,52,11,7.91,AU,1675294419
36,avarua,-21.2078,-159.775,23.03,88,75,3.09,CK,1675294603
37,kaitangata,-46.2817,169.8464,25.28,58,54,2.06,NZ,1675294604
38,bluff,-46.6,168.3333,21.0,76,51,2.48,NZ,1675294605
39,victoria point,-27.5833,153.3,30.1,70,84,2.24,AU,1675294353
40,knysna,-34.0363,23.0471,18.17,82,4,1.44,ZA,1675294375
41,tiznit,29.5833,-9.5,10.03,36,23,1.89,MA,1675294607
42,lakes entrance,-37.8811,147.981,22.87,55,99,0.77,AU,1675294609
43,geraldton,-28.7667,114.6,31.23,33,0,7.72,AU,1675294610
44,cockburn town,21.4612,-71.1419,24.96,74,8,8.85,TC,1675294611
45,hokitika,-42.7167,170.9667,18.77,87,96,2.31,NZ,1675294612
46,busselton,-33.65,115.3333,17.02,61,4,7.66,AU,1675294613
47,hermanus,-34.4187,19.2345,17.67,82,76,2.71,ZA,1675294561
48,sumbe,-11.2061,13.8437,24.73,85,55,2.98,AO,1675294615
49,presidencia roque saenz pena,-26.7852,-60.4388,30.96,27,0,2.73,AR,1675294616
50,hilo,19.7297,-155.09,27.93,74,0,3.58,US,1675294617
51,freetown,8.484,-13.2299,25.44,75,2,3.38,SL,1675294618
52,ibra,22.6906,58.5334,15.96,74,6,0.22,OM,1675294619
53,kodiak,57.79,-152.4072,3.73,65,0,2.57,US,1675294421
54,thompson,55.7435,-97.8558,-27.91,69,100,6.69,CA,1675294621
55,uruana,-15.4981,-49.6875,22.62,78,60,0.72,BR,1675294623
56,yanam,16.7333,82.2167,21.77,75,77,2.29,IN,1675294625
57,huarmey,-10.0681,-78.1522,22.77,78,63,3.58,PE,1675294429
58,dikson,73.5069,80.5464,-19.17,92,94,3.78,RU,1675294628
59,elizabeth city,36.2946,-76.2511,5.01,74,100,4.63,US,1675294385
60,victoria,22.2855,114.1577,20.14,86,5,0.89,HK,1675294504
61,chokurdakh,70.6333,147.9167,-23.13,98,100,0.98,RU,1675294632
62,cape town,-33.9258,18.4232,19.93,75,20,6.69,ZA,1675294503
63,nkhotakota,-12.9274,34.2961,22.92,88,98,2.32,MW,1675294635
64,sabya,17.1495,42.6254,24.79,78,13,2.05,SA,1675294637
65,saldanha,-33.0117,17.9442,17.03,90,1,6.84,ZA,1675294418
66,kargil,34.5667,76.1,-17.99,86,100,0.91,IN,1675294640
67,jamestown,42.097,-79.2353,-5.23,71,0,2.57,US,1675294122
68,arkadelphia,34.1209,-93.0538,0.25,98,100,2.06,US,1675294643
69,saint-philippe,-21.3585,55.7679,22.77,84,49,2.59,RE,1675294645
70,patacamaya,-17.2333,-67.9167,10.29,67,75,3.91,BO,1675294647
71,east london,-33.0153,27.9116,21.61,82,14,6.9,ZA,1675294649
72,cabo san lucas,22.8909,-109.9124,22.17,52,75,4.63,MX,1675294650
73,provideniya,64.3833,-173.3,-3.94,80,75,5.0,RU,1675294651
74,grand gaube,-20.0064,57.6608,25.22,83,9,1.34,MU,1675294652
75,basco,20.4487,121.9702,23.86,79,100,6.65,PH,1675294653
76,pangnirtung,66.1451,-65.7125,-28.0,47,20,1.54,CA,1675294654
77,fuerte olimpo,-21.0415,-57.8738,24.53,88,73,2.06,PY,1675294655
78,dingle,10.9995,122.6711,25.5,89,63,4.48,PH,1675294656
79,xingtai,37.0631,114.4942,-0.9,24,100,2.48,CN,1675294657
80,redmond,47.674,-122.1215,9.99,56,98,0.45,US,1675294350
81,jabinyanah,35.035,10.9081,11.89,49,1,4.91,TN,1675294659
82,hamilton,39.1834,-84.5333,-0.65,49,0,0.45,US,1675294295
83,hithadhoo,-0.6,73.0833,27.13,77,54,5.02,MV,1675294661
84,bethel,41.3712,-73.414,0.42,49,0,2.57,US,1675294662
85,arraial do cabo,-22.9661,-42.0278,24.25,90,82,6.2,BR,1675294663
86,les cayes,18.2,-73.75,23.83,76,24,1.45,HT,1675294664
87,tucumcari,35.1717,-103.725,8.3,49,0,5.14,US,1675294665
88,sangerhausen,51.4667,11.3,4.19,81,19,9.67,DE,1675294666
89,ponta do sol,32.6667,-17.1,17.35,64,73,4.56,PT,1675294668
90,canakkale,40.0833,26.8333,-0.68,72,74,1.85,TR,1675294669
91,husavik,66.0449,-17.3389,-5.69,90,92,4.12,IS,1675294372
92,kijang,35.2442,129.2139,-0.15,47,100,2.17,KR,1675294671
93,krasnovishersk,60.4078,57.082,-7.98,94,99,3.3,RU,1675294672
94,puerto ayora,-0.7393,-90.3518,26.42,93,90,2.68,EC,1675294673
95,broome,42.2506,-75.833,-4.51,63,0,3.09,US,1675294674
96,mahebourg,-20.4081,57.7,25.16,88,40,1.54,MU,1675294675
97,lata,40.1629,-8.3327,3.37,85,1,1.68,PT,1675294400
98,new norfolk,-42.7826,147.0587,16.05,42,100,2.68,AU,1675294677
99,alta floresta,-9.8756,-56.0861,22.24,95,25,1.27,BR,1675294678
100,khatanga,71.9667,102.5,-31.63,96,100,2.44,RU,1675294679
101,butaritari,3.0707,172.7902,26.94,79,78,8.25,KI,1675294680
102,roald,62.5833,6.1333,2.09,93,40,4.12,NO,1675294681
103,bambous virieux,-20.3428,57.7575,25.14,88,40,1.54,MU,1675294683
104,coos bay,43.3665,-124.2179,12.99,69,0,4.12,US,1675294684
105,moerai,-22.4333,-151.3333,26.59,78,46,5.9,PF,1675294685
106,tura,25.5198,90.2201,12.03,51,2,1.69,IN,1675294599
107,tiksi,71.6872,128.8694,-27.2,98,99,4.02,RU,1675294689
108,biak,-0.9131,122.8766,26.0,78,100,2.19,ID,1675294691
109,poum,-20.2333,164.0167,26.88,63,90,2.62,NC,1675294693
110,anadyr,64.75,177.4833,-3.72,93,20,6.0,RU,1675294694
111,dubrovka,53.6907,33.5071,-2.81,95,100,5.26,RU,1675294697
112,lebu,-37.6167,-73.65,14.23,81,0,9.62,CL,1675294698
113,magadan,59.5667,150.8,-13.59,94,88,2.74,RU,1675294700
114,rocha,-34.4833,-54.3333,19.92,83,99,3.05,UY,1675294408
115,ola,59.5833,151.2833,-13.25,92,97,2.77,RU,1675294704
116,coihaique,-45.5752,-72.0662,17.97,42,0,5.66,CL,1675294557
117,grindavik,63.8424,-22.4338,1.26,75,100,14.92,IS,1675294706
118,xam nua,20.4197,104.0439,12.45,76,20,0.91,LA,1675294708
119,isangel,-19.55,169.2667,29.1,72,29,1.85,VU,1675294457
120,port-cartier,50.0334,-66.8654,-12.18,95,98,2.04,CA,1675294710
121,benjamin constant,-4.3831,-70.0311,27.07,83,0,0.51,BR,1675294711
122,angatuba,-23.4897,-48.4128,21.07,92,100,1.69,BR,1675294712
123,olafsvik,64.8945,-23.7142,-0.36,68,100,8.1,IS,1675294713
124,ilebo,-4.3167,20.5833,21.61,86,76,0.5,CD,1675294714
125,dom pedrito,-30.9828,-54.6731,29.14,41,6,7.99,BR,1675294715
126,celendin,-6.8703,-78.1517,15.29,80,76,1.58,PE,1675294716
127,mataura,-46.1927,168.8643,27.95,45,53,1.52,NZ,1675294718
128,zhangjiakou,40.81,114.8794,-10.4,33,100,0.82,CN,1675294719
129,saquarema,-22.92,-42.5103,24.66,88,100,3.55,BR,1675294720
130,comodoro rivadavia,-45.8667,-67.5,20.92,37,0,5.14,AR,1675294471
131,zima,53.9202,102.0442,-22.26,99,96,0.49,RU,1675294722
132,yerbogachen,61.2767,108.0108,-19.86,98,98,3.12,RU,1675294723
133,nelson bay,-32.7167,152.15,26.16,85,43,3.58,AU,1675294724
134,pathein,16.7833,94.7333,20.21,82,4,1.98,MM,1675294726
135,matane,48.8286,-67.522,-12.35,91,96,3.25,CA,1675294727
136,mecca,21.4267,39.8261,18.61,60,29,4.78,SA,1675294728
137,airai,-8.9266,125.4092,18.11,90,99,0.99,TL,1675294729
138,sawtell,-30.3833,153.1,30.1,57,4,4.63,AU,1675294730
139,novonukutskiy,53.7002,102.7117,-22.67,97,96,0.64,RU,1675294732
140,rio muerto,27.4167,-110.2333,18.29,50,16,6.17,MX,1675294733
141,muriwai beach,-36.8167,174.45,24.87,70,94,4.24,NZ,1675294735
142,sisimiut,66.9395,-53.6735,-19.92,97,82,2.12,GL,1675294736
143,uyuni,-20.4597,-66.825,14.93,33,5,9.34,BO,1675294737
144,mar del plata,-38.0023,-57.5575,21.08,79,75,5.14,AR,1675294619
145,olga,43.7444,135.2892,-11.1,56,2,4.62,RU,1675294739
146,nanortalik,60.1432,-45.2371,-5.39,78,100,3.91,GL,1675294740
147,hambantota,6.1241,81.1185,24.33,89,100,3.16,LK,1675294748
148,hoshcha,50.6003,26.6744,0.45,98,100,4.86,UA,1675294758
149,menzelinsk,55.7271,53.1026,-20.36,94,93,1.61,RU,1675294762
150,north bend,43.4065,-124.2243,12.95,68,0,4.12,US,1675294763
151,belyy yar,53.6039,91.3903,-19.06,84,100,1.0,RU,1675294508
152,dibulla,11.2725,-73.3091,24.39,74,3,4.28,CO,1675294767
153,neiafu,-18.65,-173.9833,27.86,75,100,5.45,TO,1675294769
154,bengkulu,-3.8004,102.2655,23.93,87,100,2.19,ID,1675294773
155,ostrovnoy,68.0531,39.5131,-8.22,91,95,8.85,RU,1675294752
156,khawhai,23.3667,93.1167,7.65,66,81,0.99,IN,1675294777
157,zemio,5.0314,25.1361,22.01,37,38,1.0,CF,1675294778
158,sistranda,63.7256,8.834,-2.02,77,99,5.58,NO,1675294779
159,gat,31.61,34.7642,11.38,100,94,9.14,IL,1675294560
160,varadero,23.1536,-81.2514,25.42,79,6,8.1,CU,1675294588
161,vila franca do campo,37.7167,-25.4333,12.23,79,94,2.82,PT,1675294782
162,socorro,31.6546,-106.3033,12.55,42,20,0.0,US,1675294783
163,chuy,-33.6971,-53.4616,22.44,77,14,5.2,UY,1675294784
164,morant bay,17.8815,-76.4093,28.79,82,45,5.38,JM,1675294785
165,salalah,17.0151,54.0924,24.05,53,75,1.54,OM,1675294761
166,upernavik,72.7868,-56.1549,-26.12,98,100,2.11,GL,1675294787
167,imeni poliny osipenko,52.4201,136.4853,-32.48,99,64,0.33,RU,1675294788
168,manzil salim,35.8567,8.4765,4.34,81,3,1.73,TN,1675294789
169,ode,7.7899,5.7117,24.01,66,3,3.78,NG,1675294790
170,cartagena del chaira,1.3349,-74.8429,26.75,40,67,1.68,CO,1675294791
171,kapaa,22.0752,-159.319,27.18,80,0,4.12,US,1675294792
172,ormara,25.2088,64.6357,19.02,51,0,2.67,PK,1675294793
173,mahibadhoo,3.7833,72.9667,26.39,73,100,5.92,MV,1675294795
174,kaspiyskiy,45.3929,47.3707,-1.93,82,93,2.55,RU,1675294796
175,ellensburg,46.9965,-120.5479,3.34,68,0,0.45,US,1675294797
176,forestville,38.8451,-76.875,1.8,53,0,3.6,US,1675294798
177,sobolevo,54.4299,31.8996,-1.76,95,100,5.32,RU,1675294799
178,kiskunlachaza,47.1884,19.0093,5.82,74,87,8.16,HU,1675294800
179,puerto escondido,15.85,-97.0667,29.46,61,0,0.0,MX,1675294801
180,half moon bay,37.4636,-122.4286,15.93,45,0,1.54,US,1675294806
181,yaan,7.3833,8.5667,27.74,32,2,2.93,NG,1675294812
182,casino,-28.8667,153.05,28.21,54,65,1.64,AU,1675294813
183,champerico,14.3,-91.9167,32.3,64,39,4.4,GT,1675294815
184,petropavlovsk-kamchatskiy,53.0452,158.6483,-17.67,71,0,4.0,RU,1675294817
185,dubai,25.2582,55.3047,19.96,77,0,3.09,AE,1675294473
186,sao filipe,14.8961,-24.4956,21.86,70,20,5.4,CV,1675294602
187,klaksvik,62.2266,-6.589,-0.49,64,87,2.34,FO,1675294663
188,katsuura,35.1333,140.3,6.01,41,83,7.33,JP,1675294824
189,tecoanapa,16.5167,-98.75,27.65,59,4,3.89,MX,1675294826
190,nalut,30.3333,10.85,6.74,47,30,4.64,LY,1675294827
191,kingsville,27.5159,-97.8561,4.14,95,100,5.66,US,1675294607
192,bonthe,7.5264,-12.505,25.27,86,1,2.64,SL,1675294830
193,mkushi,-13.6202,29.3939,17.4,97,100,1.38,ZM,1675294831
194,trairi,-3.2778,-39.2689,25.82,86,89,4.24,BR,1675294745
195,bonavista,48.6499,-53.1147,-9.32,59,84,4.75,CA,1675294833
196,severo-kurilsk,50.6789,156.125,-5.02,62,74,2.23,RU,1675294834
197,port elizabeth,-33.918,25.5701,19.62,88,0,4.12,ZA,1675294835
198,pisco,-13.7,-76.2167,24.03,83,0,9.26,PE,1675294617
199,portland,45.5234,-122.6762,11.82,48,75,2.06,US,1675294079
200,uzhur,55.3036,89.8339,-22.85,99,36,1.85,RU,1675294838
201,blagoyevo,63.3667,47.9167,-5.73,95,97,3.38,RU,1675294839
202,parabel,58.6978,81.4825,-17.85,96,48,2.4,RU,1675294840
203,tuktoyaktuk,69.4541,-133.0374,-38.0,67,40,2.57,CA,1675294841
204,pacific grove,36.6177,-121.9166,16.04,73,0,5.66,US,1675294842
205,leningradskiy,69.3833,178.4167,-22.75,99,85,2.73,RU,1675294671
206,longyearbyen,78.2186,15.6401,-10.09,62,20,8.75,SJ,1675294844
207,trinidad,-14.8333,-64.9,27.99,74,75,1.54,BO,1675294845
208,nikolskoye,59.7035,30.7861,-0.06,95,100,2.75,RU,1675294677
209,bambanglipuro,-7.95,110.2833,24.5,88,100,1.4,ID,1675294847
210,pevek,69.7008,170.3133,-22.02,96,30,1.1,RU,1675294848
211,dunedin,-45.8742,170.5036,21.56,75,51,4.92,NZ,1675294844
212,khartoum,15.5518,32.5324,20.01,20,16,0.45,SD,1675294593
213,ancud,-41.8697,-73.8203,14.45,73,56,2.64,CL,1675294850
214,kavaratti,10.5669,72.642,26.58,77,76,4.82,IN,1675294852
215,high level,58.5169,-117.136,-24.94,64,0,1.03,CA,1675294853
216,qui nhon,13.7667,109.2333,22.76,90,100,2.72,VN,1675294854
217,vila,42.0304,-8.1588,2.49,82,2,1.84,PT,1675294855
218,fairbanks,64.8378,-147.7164,-10.1,84,100,2.06,US,1675294777
219,riyadh,24.6877,46.7219,15.08,68,65,2.62,SA,1675294700
220,georgetown,5.4112,100.3354,24.96,94,20,1.54,MY,1675294830
221,saskylakh,71.9167,114.0833,-24.43,98,100,3.6,RU,1675294739
222,anastacio,-20.4836,-55.8069,23.04,97,88,1.41,BR,1675294859
223,faanui,-16.4833,-151.75,27.77,73,84,8.58,PF,1675294677
224,coquimbo,-29.9533,-71.3436,19.85,72,0,5.66,CL,1675294836
225,rodrigues alves,-7.738,-72.6509,25.11,98,94,1.13,BR,1675294862
226,sao felix do xingu,-6.6447,-51.995,21.56,99,100,0.85,BR,1675294864
227,tyukhtet,56.5389,89.3011,-24.37,100,93,1.22,RU,1675294866
228,tezu,27.9167,96.1667,16.21,30,1,1.87,IN,1675294870
229,nagato,34.3833,131.2,7.02,69,100,6.01,JP,1675294874
230,sapozhok,53.9419,40.6806,-4.37,97,100,3.06,RU,1675294876
231,pelym,61.0108,61.9978,-12.37,98,47,1.48,RU,1675294878
232,egvekinot,66.3167,-179.1667,-12.48,92,93,3.24,RU,1675294879
233,milkovo,54.7167,158.6167,-17.38,88,66,0.44,RU,1675294881
234,katherine,-14.4667,132.2667,28.18,83,100,6.69,AU,1675294882
235,dongsheng,39.8161,109.9776,-8.07,20,100,0.8,CN,1675294884
236,sinjar,36.3209,41.8754,8.03,77,100,7.16,IQ,1675294886
237,narsaq,60.9167,-46.05,-6.88,93,100,1.66,GL,1675294887
238,mayo,38.8876,-76.5119,2.82,54,0,3.09,US,1675294889
239,anloga,5.7947,0.8973,26.28,87,2,5.01,GH,1675294890
240,mamontovo,52.7055,81.6244,-13.26,94,99,2.33,RU,1675294891
241,shingu,33.7333,135.9833,5.97,59,100,3.13,JP,1675294892
242,lompoc,34.6391,-120.4579,18.77,44,40,2.57,US,1675294893
243,chenzhou,25.8,113.0333,13.07,60,100,1.96,CN,1675294894
244,hovd,48.0056,91.6419,-17.94,79,61,0.79,MN,1675294647
245,camargo,27.6667,-105.1667,10.49,71,96,2.25,MX,1675294897
246,nabire,-3.3667,135.4833,24.46,94,100,0.82,ID,1675294898
247,sabha,27.0377,14.4283,8.63,52,1,3.0,LY,1675294899
248,necochea,-38.5473,-58.7368,18.34,76,96,4.91,AR,1675294900
249,ilhabela,-23.7781,-45.3581,24.69,87,100,2.83,BR,1675294901
250,san quintin,30.4833,-115.95,14.59,52,1,2.17,MX,1675294902
251,faya,18.3851,42.4509,12.29,65,8,2.26,SA,1675294903
252,loubomo,-4.1997,12.6739,22.01,94,19,0.89,CG,1675294904
253,okhotsk,59.3833,143.3,-19.53,89,100,5.72,RU,1675294906
254,hashtgerd,35.9642,50.6858,0.91,62,8,2.59,IR,1675294907
255,san cristobal,7.7669,-72.225,22.1,85,15,1.26,VE,1675294908
256,elat,29.5581,34.9482,13.91,44,75,4.12,IL,1675294909
257,evensk,61.95,159.2333,-18.73,89,64,2.58,RU,1675294910
258,bozdar,27.1828,68.636,14.54,36,0,1.6,PK,1675294911
259,nisia floresta,-6.0911,-35.2086,27.45,79,24,3.56,BR,1675294912
260,honningsvag,70.9821,25.9704,-2.14,86,100,5.14,NO,1675294913
261,bang saphan,11.2126,99.5117,22.11,74,53,1.18,TH,1675294914
262,zhigansk,66.7697,123.3711,-32.61,97,100,7.25,RU,1675294915
263,kresttsy,58.2452,32.5165,-3.74,89,99,3.46,RU,1675294916
264,kumo,10.0447,11.2122,24.02,24,6,5.21,NG,1675294917
265,nagorsk,59.3172,50.8078,-8.9,94,98,3.65,RU,1675294918
266,santa isabel do rio negro,-0.4139,-65.0192,26.29,70,95,0.53,BR,1675294919
267,sur,22.5667,59.5289,18.56,74,2,2.16,OM,1675294920
268,fereydun kenar,36.6864,52.5225,9.36,85,3,4.69,IR,1675294921
269,fortuna,40.5982,-124.1573,13.7,47,0,0.0,US,1675294786
270,kirakira,-10.4544,161.9205,30.16,68,35,3.55,SB,1675294755
271,ilulissat,69.2167,-51.1,-8.99,57,75,9.77,GL,1675294926
272,sayyan,15.1718,44.3244,11.73,46,65,0.71,YE,1675294927
273,amanganj,24.4333,80.0333,10.52,43,13,1.3,IN,1675294933
274,kamenka,51.3223,42.7678,-2.07,97,100,3.98,RU,1675294935
275,alice springs,-23.7,133.8833,22.75,46,0,1.54,AU,1675294936
276,pacasmayo,-7.4006,-79.5714,22.66,73,54,4.35,PE,1675294938
277,berdigestyakh,62.0989,126.6992,-27.83,99,100,0.79,RU,1675294732
278,carnarvon,-24.8667,113.6333,27.44,67,84,4.45,AU,1675294723
279,palembang,-2.9167,104.7458,25.05,94,75,1.54,ID,1675294943
280,tanout,14.9709,8.8879,19.32,15,97,5.79,NE,1675294944
281,codrington,-38.2667,141.9667,14.7,66,100,9.96,AU,1675294660
282,veshenskaya,49.6303,41.7334,-0.86,92,100,2.03,RU,1675294947
283,marrakesh,31.6315,-8.0083,7.04,61,40,1.03,MA,1675294879
284,norman wells,65.282,-126.8329,-32.98,75,40,1.54,CA,1675294949
285,mragowo,53.8644,21.3051,1.0,92,91,4.21,PL,1675294950
286,rawah,34.4816,41.9093,12.16,46,87,7.36,IQ,1675294951
287,qaanaaq,77.484,-69.3632,-23.02,63,35,3.75,GL,1675294952
288,garwa,24.1833,83.8167,9.07,46,26,2.12,IN,1675294953
289,vila velha,-20.3297,-40.2925,26.08,85,0,6.17,BR,1675294734
290,xuddur,4.1213,43.8894,21.28,55,57,5.29,SO,1675294955
291,fayaoue,-20.65,166.5333,26.45,65,42,0.89,NC,1675294956
292,hofn,64.2539,-15.2082,-2.14,69,73,4.9,IS,1675294765
293,teeli,51.0333,90.2333,-23.48,86,63,0.76,RU,1675294958
294,bela,25.9333,81.9833,9.47,66,6,3.85,IN,1675294959
295,westport,41.1415,-73.3579,1.53,48,0,3.09,US,1675294855
296,dhidhdhoo,6.8833,73.1,27.2,71,79,5.43,MV,1675294905
297,saraza,8.7356,117.78,26.42,83,95,5.15,PH,1675294962
298,meulaboh,4.1363,96.1285,24.22,84,99,2.05,ID,1675294963
299,nome,64.5011,-165.4064,-14.96,100,75,0.0,US,1675294922
300,hasaki,35.7333,140.8333,6.23,41,85,7.18,JP,1675294965
301,axim,4.8699,-2.2405,25.94,89,2,3.18,GH,1675294966
302,marawi,7.9986,124.2928,22.13,88,100,0.69,PH,1675294968
303,atar,20.5169,-13.0499,20.82,11,100,2.01,MR,1675294969
304,bethanien,-26.502,17.1583,21.62,39,4,2.84,NA,1675294970
305,oktyabrskiy,54.4815,53.471,-13.9,91,90,1.3,RU,1675294971
306,inhambane,-23.865,35.3833,24.4,74,17,4.14,MZ,1675294972
307,kahului,20.8947,-156.47,27.01,77,40,4.63,US,1675294750
308,chabahar,25.2919,60.643,19.71,64,1,0.96,IR,1675294974
309,northam,51.0333,-4.2167,9.1,91,43,5.86,GB,1675294975
310,la palma,33.8464,-118.0467,22.15,27,0,4.63,US,1675294977
311,ahipara,-35.1667,173.1667,24.01,68,100,3.6,NZ,1675294978
312,lavrentiya,65.5833,-171.0,-7.92,92,100,2.26,RU,1675294722
313,bandarbeyla,9.4942,50.8122,23.57,66,22,6.64,SO,1675294980
314,los llanos de aridane,28.6585,-17.9182,12.86,67,0,4.63,ES,1675294981
315,taoudenni,22.6783,-3.9836,14.41,18,83,5.45,ML,1675294706
316,cayenne,4.9333,-52.3333,24.02,94,100,3.09,GF,1675294881
317,saint george,37.1041,-113.5841,10.8,26,0,1.34,US,1675294790
318,sarai sidhu,30.5949,71.9698,12.33,35,50,0.78,PK,1675294986
319,vestmannaeyjar,63.4427,-20.2734,2.32,70,100,12.74,IS,1675294987
320,xai-xai,-25.0519,33.6442,22.61,87,59,2.22,MZ,1675294988
321,luganville,-15.5333,167.1667,29.79,69,47,1.81,VU,1675294990
322,beloha,-25.1667,45.05,21.08,86,16,5.73,MG,1675294993
323,krasnoarmeysk,51.0239,45.6969,-7.26,96,99,1.98,RU,1675294994
324,bocas del toro,9.3333,-82.25,25.4,77,46,3.36,PA,1675294996
325,ende,-8.8432,121.6623,26.87,84,100,1.64,ID,1675294998
326,charagua,-19.8,-63.2167,23.46,59,36,1.17,BO,1675295000
327,deputatskiy,69.3,139.9,-29.09,94,94,1.97,RU,1675294731
328,atasu,48.6814,71.6433,-15.59,96,40,4.38,KZ,1675295002
329,saint-joseph,-21.3667,55.6167,23.21,80,31,3.18,RE,1675295004
330,velikiy ustyug,60.7644,46.3106,-5.13,97,100,2.23,RU,1675295005
331,paita,-5.0892,-81.1144,24.43,78,29,4.88,PE,1675295006
332,mount gambier,-37.8333,140.7667,13.89,83,99,7.75,AU,1675295008
333,miri,4.4148,114.0089,23.08,100,20,1.03,MY,1675295009
334,layou,13.2,-61.2667,23.66,73,20,4.12,VC,1675295010
335,espanola,35.9911,-106.0806,8.41,37,0,2.78,US,1675295011
336,souillac,-20.5167,57.5167,25.21,88,40,1.54,MU,1675295012
337,nanakuli,21.3906,-158.1547,27.97,59,0,3.09,US,1675294835
338,atbasar,51.8,68.3333,-21.88,95,27,2.39,KZ,1675295014
339,mackay,-21.15,149.2,32.05,71,92,2.23,AU,1675294917
340,qorveh,35.1664,47.8045,-2.5,90,92,2.1,IR,1675295016
341,jieshi,22.8134,115.8257,18.11,82,14,7.77,CN,1675295017
342,komsomolskiy,40.4272,71.7189,-1.6,80,100,1.03,UZ,1675295018
343,lanigan,51.8501,-105.0344,-17.06,89,100,6.45,CA,1675295019
344,turbat,26.0023,63.044,15.51,73,1,1.04,PK,1675295020
345,sao joao da barra,-21.6403,-41.0511,26.05,85,97,6.98,BR,1675295021
346,erzin,36.9559,36.2,6.01,81,100,1.83,TR,1675295022
347,newcastle,-32.9272,151.7765,26.55,80,75,2.57,AU,1675295023
348,yellandu,17.6,80.3333,18.54,66,87,1.23,IN,1675295024
349,libertador general san martin,-23.8064,-64.7876,29.43,53,9,1.97,AR,1675295025
350,clinton,42.587,-82.9199,-4.94,63,20,2.57,US,1675295026
351,sindor,62.8629,51.8905,-5.05,95,96,2.95,RU,1675295028
352,te anau,-45.4167,167.7167,21.98,67,83,1.76,NZ,1675294733
353,seymchan,62.8833,152.4333,-31.05,98,94,0.11,RU,1675294784
354,hualmay,-11.0964,-77.6139,22.72,79,86,3.99,PE,1675295030
355,santa fe,-31.6333,-60.7,30.56,35,1,2.68,AR,1675294754
356,manokwari,-0.8667,134.0833,27.78,70,89,1.38,ID,1675295032
357,lokosovo,61.1333,74.8167,-14.61,99,94,2.57,RU,1675295033
358,goderich,43.7501,-81.7165,-1.72,63,98,8.23,CA,1675295035
359,clyde river,70.4692,-68.5914,-34.87,61,0,2.57,CA,1675295036
360,hervey bay,-25.2986,152.8535,27.81,78,52,1.19,AU,1675295037
361,daru,-9.0763,143.2092,27.42,85,99,3.85,PG,1675295038
362,qaqortoq,60.7167,-46.0333,-8.18,93,100,2.55,GL,1675295039
